Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commission (in value),Gender,Age
Travel Agency,Online,Value Plan,No,9.0,NETHERLANDS,75.0,28.5,M,48.0
Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,F,40.0
Travel Agency,Offline,Comprehensive Plan,No,4.0,THAILAND,29.0,9.57,F,118.0
Airlines,Online,Basic Plan,No,187.0,PHILIPPINES,37.0,12.95,F,60.0
Airlines,Online,Basic Plan,No,5.0,HONG KONG,22.0,7.7,M,67.0
Airlines,Online,Basic Plan,No,83.0,PHILIPPINES,47.0,16.45,F,38.0
Airlines,Online,Value Plan,No,44.0,CHINA,125.0,43.75,F,56.0
Airlines,Online,Bronze Plan,No,32.0,SINGAPORE,32.9,8.22,F,51.0
Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,23.5,5.88,F,28.0
Airlines,Online,Annual Silver Plan,No,431.0,SINGAPORE,252.85,63.21,M,30.0
Airlines,Online,Value Plan,No,8.0,INDIA,50.0,20.0,F,118.0
Airlines,Online,Gold Plan,No,13.0,SINGAPORE,99.45,24.86,M,30.0
Airlines,Online,Value Plan,No,15.0,HONG KONG,69.0,24.15,M,44.0
Airlines,Online,Value Plan,No,65.0,CHINA,69.0,24.15,M,51.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,17.55,4.39,F,55.0
Airlines,Online,Annual Silver Plan,No,373.0,SINGAPORE,301.0,75.25,M,47.0
Airlines,Online,Annual Silver Plan,No,385.0,SINGAPORE,187.85,46.96,F,50.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,18.0,6.3,M,42.0
Airlines,Online,Bronze Plan,No,15.0,SINGAPORE,17.55,4.39,M,30.0
Travel Agency,Online,Value Plan,No,38.0,NETHERLANDS,158.0,60.04,M,48.0
Travel Agency,Online,Value Plan,No,37.0,GERMANY,109.0,41.42,F,48.0
Travel Agency,Online,Value Plan,No,6.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Basic Plan,No,9.0,PHILIPPINES,22.0,7.7,F,25.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,23.4,5.85,F,31.0
Airlines,Online,Basic Plan,No,9.0,CHINA,22.0,7.7,M,66.0
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,M,53.0
Airlines,Online,Annual Gold Plan,No,365.0,SINGAPORE,389.35,97.34,F,33.0
Airlines,Online,Basic Plan,No,22.0,HONG KONG,26.0,9.1,M,54.0
Airlines,Online,Basic Plan,No,16.0,HONG KONG,40.0,14.0,M,68.0
Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,51.75,12.94,F,47.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,18.0,6.3,M,39.0
Airlines,Online,Basic Plan,No,10.0,PHILIPPINES,18.0,6.3,F,34.0
Airlines,Online,Basic Plan,No,35.0,CHINA,26.0,9.1,F,45.0
Airlines,Online,Basic Plan,No,10.0,THAILAND,22.0,7.7,F,45.0
Airlines,Online,Basic Plan,No,6.0,CHINA,26.0,9.1,M,70.0
Airlines,Online,Basic Plan,No,11.0,CHINA,35.0,12.25,F,37.0
Airlines,Online,Silver Plan,No,13.0,SINGAPORE,18.5,4.63,F,23.0
Airlines,Online,Gold Plan,No,102.0,SINGAPORE,102.0,25.5,M,37.0
Airlines,Online,Basic Plan,No,5.0,HONG KONG,26.0,9.1,F,40.0
Airlines,Online,Bronze Plan,No,66.0,SINGAPORE,22.1,5.53,M,33.0
Airlines,Online,Basic Plan,No,4.0,HONG KONG,22.0,7.7,M,67.0
Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,252.85,63.21,M,28.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,65.4,16.35,F,56.0
Airlines,Online,Basic Plan,No,67.0,HONG KONG,26.0,9.1,F,60.0
Airlines,Online,Basic Plan,No,9.0,"KOREA, REPUBLIC OF",26.0,9.1,M,37.0
Airlines,Online,Basic Plan,No,83.0,"KOREA, REPUBLIC OF",35.0,12.25,F,22.0
Airlines,Online,Value Plan,No,12.0,UNITED ARAB EMIRATES,67.0,23.45,M,59.0
Airlines,Online,Basic Plan,Yes,44.0,THAILAND,18.0,6.3,M,67.0
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,216.75,54.19,M,30.0
Airlines,Online,Annual Silver Plan,No,432.0,SINGAPORE,187.85,46.96,M,62.0
Airlines,Online,Annual Silver Plan,No,368.0,SINGAPORE,252.85,63.21,M,75.0
Airlines,Online,Value Plan,No,16.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,7.0,HONG KONG,26.0,9.1,F,40.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,252.85,63.21,M,37.0
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,F,42.0
Airlines,Online,Annual Gold Plan,No,365.0,SINGAPORE,389.35,97.34,F,37.0
Airlines,Online,Bronze Plan,No,20.0,SINGAPORE,38.35,9.59,M,37.0
Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,17.55,4.39,F,50.0
Airlines,Online,Basic Plan,No,2.0,VIET NAM,18.0,6.3,F,39.0
Airlines,Online,Basic Plan,No,25.0,THAILAND,22.0,7.7,F,52.0
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,M,47.0
Airlines,Online,Basic Plan,No,61.0,"KOREA, REPUBLIC OF",26.0,9.1,F,34.0
Airlines,Online,Basic Plan,No,4.0,INDONESIA,18.0,6.3,F,29.0
Airlines,Online,Annual Silver Plan,No,373.0,SINGAPORE,291.75,72.94,F,32.0
Airlines,Online,24 Protect,No,5.0,MALAYSIA,16.33,5.72,M,48.0
Travel Agency,Offline,Comprehensive Plan,No,11.0,MALAYSIA,29.0,9.57,M,67.0
Airlines,Online,24 Protect,No,1.0,PHILIPPINES,3.74,1.31,M,48.0
Airlines,Online,Basic Plan,No,50.0,PHILIPPINES,47.0,16.45,F,31.0
Airlines,Online,Basic Plan,No,80.0,MYANMAR,52.0,18.2,F,49.0
Airlines,Online,Basic Plan,No,0.0,MYANMAR,18.0,6.3,F,27.0
Airlines,Online,Annual Silver Plan,No,377.0,SINGAPORE,252.85,63.21,F,78.0
Travel Agency,Offline,Comprehensive Plan,No,56.0,THAILAND,29.0,9.57,F,68.0
Airlines,Online,Basic Plan,No,7.0,HONG KONG,26.0,9.1,M,47.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,24.05,6.01,F,27.0
Airlines,Online,Bronze Plan,No,37.0,SINGAPORE,51.75,12.94,F,26.0
Airlines,Online,Basic Plan,No,135.0,THAILAND,22.0,7.7,M,38.0
Airlines,Online,Bronze Plan,No,56.0,SINGAPORE,69.55,17.39,F,35.0
Airlines,Online,Bronze Plan,No,5.0,SINGAPORE,17.55,4.39,M,47.0
Airlines,Online,Basic Plan,No,22.0,INDIA,35.0,12.25,F,54.0
Airlines,Online,Silver Plan,No,8.0,SINGAPORE,37.5,9.38,M,28.0
Airlines,Online,Basic Plan,No,19.0,MYANMAR,30.0,10.5,M,21.0
Airlines,Online,Value Plan,No,11.0,JAPAN,69.0,24.15,M,49.0
Airlines,Online,Value Plan,No,21.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Value Plan,No,0.0,INDIA,62.0,24.8,M,118.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,50.0,12.5,M,37.0
Travel Agency,Online,Premier Plan,No,33.0,INDONESIA,38.0,14.44,F,48.0
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,187.85,46.96,F,27.0
Airlines,Online,Basic Plan,No,15.0,VIET NAM,-22.0,7.7,M,57.0
Airlines,Online,Bronze Plan,No,23.0,SINGAPORE,61.1,15.28,F,27.0
Airlines,Online,Basic Plan,No,39.0,VIET NAM,22.0,7.7,M,29.0
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,252.85,63.21,F,34.0
Airlines,Online,Bronze Plan,No,80.0,SINGAPORE,137.0,34.25,M,27.0
Airlines,Online,Bronze Plan,No,28.0,SINGAPORE,65.65,16.41,F,65.0
Airlines,Online,Basic Plan,No,32.0,THAILAND,22.0,7.7,F,30.0
Airlines,Online,Value Plan,Yes,46.0,UNITED STATES,138.0,48.3,M,56.0
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,38.35,9.59,M,28.0
Travel Agency,Offline,Comprehensive Plan,No,142.0,THAILAND,29.0,9.57,M,69.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,14.95,3.74,F,35.0
Airlines,Online,Annual Silver Plan,No,367.0,SINGAPORE,252.85,63.21,F,62.0
Airlines,Online,Basic Plan,No,6.0,INDONESIA,22.0,7.7,M,64.0
Airlines,Online,Bronze Plan,No,69.0,SINGAPORE,30.55,7.64,F,31.0
Airlines,Online,Bronze Plan,No,28.0,SINGAPORE,23.4,5.85,M,25.0
Airlines,Online,Bronze Plan,No,12.0,SINGAPORE,14.95,3.74,F,30.0
Airlines,Online,Silver Plan,No,3.0,SINGAPORE,26.65,6.66,M,28.0
Airlines,Online,Basic Plan,No,10.0,HONG KONG,22.0,7.7,M,36.0
Airlines,Online,Basic Plan,No,110.0,HONG KONG,26.0,9.1,M,52.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,22.1,5.53,F,38.0
Airlines,Online,Silver Plan,No,8.0,SINGAPORE,33.5,8.38,F,38.0
Airlines,Online,Gold Plan,No,6.0,SINGAPORE,54.75,13.69,M,45.0
Airlines,Online,24 Protect,No,254.0,UNITED ARAB EMIRATES,30.53,10.69,M,48.0
Airlines,Online,Basic Plan,No,26.0,CHINA,22.0,7.7,F,24.0
Airlines,Online,Silver Plan,No,14.0,SINGAPORE,43.55,10.89,F,47.0
Airlines,Online,Value Plan,No,20.0,INDIA,78.0,31.2,M,118.0
Airlines,Online,Basic Plan,No,12.0,CHINA,22.0,7.7,M,26.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,17.55,4.39,M,34.0
Airlines,Online,Basic Plan,No,20.0,VIET NAM,22.0,7.7,M,63.0
Airlines,Online,24 Protect,No,12.0,PHILIPPINES,10.74,3.76,M,48.0
Airlines,Online,Basic Plan,No,8.0,MALAYSIA,18.0,6.3,F,57.0
Airlines,Online,24 Protect,No,118.0,THAILAND,17.16,6.01,M,48.0
Airlines,Online,Basic Plan,No,65.0,MYANMAR,33.0,11.55,M,21.0
Airlines,Online,Basic Plan,No,12.0,THAILAND,18.0,6.3,M,41.0
Airlines,Online,Silver Plan,No,11.0,SINGAPORE,50.25,12.56,M,59.0
Airlines,Online,Basic Plan,No,22.0,CHINA,40.0,14.0,M,25.0
Airlines,Online,Basic Plan,No,3.0,MALAYSIA,18.0,6.3,M,44.0
Airlines,Online,Basic Plan,No,45.0,AUSTRALIA,26.0,9.1,M,31.0
Airlines,Online,Basic Plan,No,20.0,AUSTRALIA,35.0,12.25,F,37.0
Airlines,Online,Basic Plan,No,2.0,MALAYSIA,18.0,6.3,M,46.0
Airlines,Online,Value Plan,No,4.0,BRUNEI DARUSSALAM,15.0,6.0,M,62.0
Airlines,Online,Basic Plan,No,36.0,CHINA,35.0,12.25,M,38.0
Airlines,Online,Basic Plan,No,1.0,INDONESIA,0.0,6.3,M,34.0
Airlines,Online,Value Plan,No,5.0,BRUNEI DARUSSALAM,15.0,6.0,M,68.0
Airlines,Online,Value Plan,No,27.0,INDIA,39.0,15.6,M,118.0
Airlines,Online,Basic Plan,No,54.0,CHINA,26.0,9.1,M,53.0
Airlines,Online,Basic Plan,No,1.0,PHILIPPINES,18.0,6.3,M,52.0
Airlines,Online,Basic Plan,No,6.0,INDONESIA,18.0,6.3,F,32.0
Airlines,Online,Basic Plan,No,35.0,CHINA,40.0,14.0,M,36.0
Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,20.25,5.06,F,46.0
Airlines,Online,Basic Plan,No,20.0,HONG KONG,35.0,12.25,M,28.0
Airlines,Online,Bronze Plan,No,14.0,SINGAPORE,38.35,9.59,M,72.0
Airlines,Online,Basic Plan,No,41.0,INDONESIA,30.0,10.5,F,39.0
Airlines,Online,Bronze Plan,No,64.0,SINGAPORE,53.25,13.31,F,47.0
Airlines,Online,Silver Plan,No,9.0,SINGAPORE,24.05,6.01,M,26.0
Airlines,Online,Basic Plan,No,99.0,PHILIPPINES,52.0,18.2,F,36.0
Airlines,Online,Value Plan,No,19.0,INDIA,39.0,15.6,F,118.0
Airlines,Online,Annual Silver Plan,No,376.0,SINGAPORE,252.85,63.21,M,45.0
Airlines,Online,Annual Silver Plan,No,374.0,SINGAPORE,187.85,46.96,F,47.0
Airlines,Online,Value Plan,No,8.0,INDIA,31.0,12.4,F,118.0
Airlines,Online,Value Plan,No,5.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Silver Plan,No,34.0,SINGAPORE,24.05,6.01,F,62.0
Travel Agency,Offline,Comprehensive Plan,No,87.0,MALAYSIA,29.0,9.57,F,32.0
Airlines,Online,Value Plan,No,44.0,GERMANY,87.0,30.45,M,39.0
Airlines,Online,Value Plan,No,7.0,THAILAND,26.0,9.1,M,55.0
Airlines,Online,Basic Plan,No,101.0,"KOREA, REPUBLIC OF",44.0,15.4,F,27.0
Airlines,Online,Bronze Plan,No,6.0,SINGAPORE,22.1,5.53,M,27.0
Airlines,Online,Bronze Plan,No,26.0,SINGAPORE,93.6,23.4,M,62.0
Airlines,Online,Basic Plan,No,149.0,"KOREA, REPUBLIC OF",69.0,24.15,F,24.0
Airlines,Online,Basic Plan,No,10.0,INDONESIA,18.0,6.3,M,53.0
Airlines,Online,Basic Plan,No,10.0,AUSTRALIA,22.0,7.7,F,43.0
Airlines,Online,Value Plan,No,13.0,INDIA,50.0,20.0,F,118.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,16.1,4.03,F,45.0
Airlines,Online,Silver Plan,Yes,24.0,SINGAPORE,25.0,6.25,M,38.0
Airlines,Online,Value Plan,No,57.0,UNITED STATES,-121.0,42.35,M,63.0
Airlines,Online,Bronze Plan,No,13.0,SINGAPORE,38.35,9.59,M,30.0
Airlines,Online,Basic Plan,No,195.0,HONG KONG,26.0,9.1,F,51.0
Airlines,Online,Basic Plan,No,33.0,THAILAND,22.0,7.7,M,25.0
Travel Agency,Online,Value Plan,No,27.0,INDONESIA,22.0,8.36,F,48.0
Airlines,Online,Value Plan,No,23.0,INDIA,42.0,16.8,F,118.0
Airlines,Online,Bronze Plan,No,16.0,SINGAPORE,20.25,5.06,F,32.0
Airlines,Online,Silver Plan,No,63.0,SINGAPORE,70.85,17.71,F,25.0
Airlines,Online,Basic Plan,No,26.0,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,M,29.0
Airlines,Online,Gold Plan,No,3.0,SINGAPORE,83.0,20.75,M,31.0
Airlines,Online,Basic Plan,No,22.0,HONG KONG,26.0,9.1,F,36.0
Airlines,Online,Value Plan,No,6.0,BRUNEI DARUSSALAM,15.0,6.0,M,28.0
Airlines,Online,Silver Plan,No,17.0,SINGAPORE,83.0,20.75,F,29.0
Airlines,Online,Value Plan,No,8.0,BRUNEI DARUSSALAM,23.0,9.2,M,39.0
Airlines,Online,Value Plan,No,24.0,HONG KONG,69.0,24.15,M,43.0
Airlines,Online,Basic Plan,No,16.0,CHINA,22.0,7.7,F,47.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,95.25,23.81,F,33.0
Airlines,Online,Basic Plan,No,24.0,THAILAND,37.0,12.95,F,67.0
Airlines,Online,Basic Plan,No,59.0,THAILAND,22.0,7.7,F,42.0
Airlines,Online,Annual Silver Plan,No,366.0,SINGAPORE,187.85,46.96,F,65.0
Airlines,Online,Basic Plan,No,46.0,CHINA,50.0,17.5,M,37.0
Airlines,Online,Basic Plan,No,10.0,INDONESIA,22.0,7.7,F,47.0
Airlines,Online,Annual Silver Plan,No,372.0,SINGAPORE,213.95,53.49,M,31.0
Airlines,Online,Annual Gold Plan,No,366.0,SINGAPORE,599.0,149.75,M,72.0
Travel Agency,Online,Premier Plan,No,5.0,INDONESIA,38.0,14.44,F,48.0
Airlines,Online,Bronze Plan,No,40.0,SINGAPORE,65.65,16.41,F,54.0
Airlines,Online,Basic Plan,No,18.0,THAILAND,22.0,7.7,M,29.0
Airlines,Online,Basic Plan,No,30.0,JAPAN,35.0,12.25,M,49.0
Airlines,Online,Value Plan,No,15.0,JAPAN,45.0,15.75,M,43.0
Airlines,Online,Basic Plan,No,51.0,HONG KONG,22.0,7.7,M,35.0
Airlines,Online,Basic Plan,No,45.0,PHILIPPINES,22.0,7.7,F,28.0
Travel Agency,Offline,Comprehensive Plan,No,245.0,THAILAND,29.0,9.57,M,70.0
Airlines,Online,Basic Plan,No,141.0,HONG KONG,22.0,7.7,M,38.0
Travel Agency,Online,Value Plan,No,7.0,NETHERLANDS,58.0,22.04,F,48.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,22.0,7.7,M,43.0
Airlines,Online,Basic Plan,No,41.0,CHINA,40.0,14.0,M,22.0
Airlines,Online,Basic Plan,No,8.0,INDONESIA,30.0,10.5,F,36.0
Airlines,Online,Basic Plan,No,61.0,PHILIPPINES,30.0,10.5,F,32.0
Airlines,Online,24 Protect,No,26.0,MALAYSIA,3.82,1.34,M,48.0
Airlines,Online,Basic Plan,No,13.0,HONG KONG,26.0,9.1,F,45.0
Airlines,Online,Value Plan,No,53.0,CHINA,45.0,15.75,M,57.0
Airlines,Online,Value Plan,No,12.0,BRUNEI DARUSSALAM,15.0,6.0,M,56.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,291.75,72.94,F,58.0
Airlines,Online,Basic Plan,No,8.0,THAILAND,22.0,7.7,M,56.0
Airlines,Online,Annual Silver Plan,No,386.0,SINGAPORE,252.85,63.21,F,33.0
Airlines,Online,Basic Plan,No,49.0,INDONESIA,22.0,7.7,F,52.0
Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,25.5,6.38,F,87.0
Airlines,Online,Value Plan,No,12.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Silver Plan,No,65.0,SINGAPORE,127.0,31.75,F,34.0
Airlines,Online,Value Plan,No,5.0,THAILAND,33.0,11.55,M,46.0
Airlines,Online,Silver Plan,No,24.0,SINGAPORE,22.2,5.55,M,20.0
Airlines,Online,Basic Plan,No,15.0,CHINA,26.0,9.1,M,65.0
Airlines,Online,Basic Plan,No,24.0,CHINA,26.0,9.1,F,39.0
Airlines,Online,24 Protect,No,57.0,MALAYSIA,69.05,24.17,M,48.0
Airlines,Online,Bronze Plan,No,30.0,SINGAPORE,59.15,14.79,F,37.0
Airlines,Online,Basic Plan,No,69.0,HONG KONG,26.0,9.1,M,58.0
Airlines,Online,Basic Plan,No,75.0,INDONESIA,30.0,10.5,M,39.0
Airlines,Online,Basic Plan,No,101.0,INDONESIA,52.0,18.2,F,36.0
Airlines,Online,Basic Plan,No,78.0,SRI LANKA,40.0,14.0,M,51.0
Airlines,Online,Value Plan,No,10.0,CHINA,40.0,14.0,M,38.0
Airlines,Online,Basic Plan,No,2.0,THAILAND,18.0,6.3,M,47.0
Travel Agency,Online,Value Plan,No,262.0,UNITED KINGDOM,130.0,49.4,F,48.0
Airlines,Online,Basic Plan,Yes,14.0,HONG KONG,26.0,9.1,F,36.0
Airlines,Online,Value Plan,No,10.0,CHINA,58.0,20.3,M,46.0
Airlines,Online,Bronze Plan,No,19.0,SINGAPORE,34.5,8.63,M,26.0
Airlines,Online,Basic Plan,No,43.0,HONG KONG,26.0,9.1,F,48.0
Airlines,Online,Value Plan,No,25.0,NETHERLANDS,87.0,30.45,M,73.0
Airlines,Online,Silver Plan,No,14.0,SINGAPORE,0.0,13.49,F,62.0
Airlines,Online,Basic Plan,No,13.0,CHINA,22.0,7.7,M,52.0
Airlines,Online,Bronze Plan,No,9.0,SINGAPORE,25.2,6.3,M,13.0
Airlines,Online,Basic Plan,No,45.0,CHINA,69.0,24.15,M,52.0
Airlines,Online,Silver Plan,No,19.0,SINGAPORE,41.5,10.38,M,31.0
Airlines,Online,Bronze Plan,No,22.0,SINGAPORE,20.25,5.06,M,48.0
Airlines,Online,Silver Plan,No,84.0,SINGAPORE,127.0,31.75,F,47.0
Airlines,Online,Silver Plan,No,18.0,SINGAPORE,71.0,17.75,M,42.0
Airlines,Online,Bronze Plan,No,19.0,SINGAPORE,0.0,12.94,M,40.0
Airlines,Online,Basic Plan,No,7.0,"KOREA, REPUBLIC OF",22.0,7.7,F,28.0
Travel Agency,Online,Value Plan,No,10.0,INDONESIA,28.0,10.64,M,48.0
Airlines,Online,Basic Plan,No,68.0,JAPAN,26.0,9.1,M,58.0
Travel Agency,Offline,Comprehensive Plan,No,207.0,MALAYSIA,29.0,9.57,F,28.0
Airlines,Online,Basic Plan,No,3.0,CAMBODIA,18.0,6.3,M,43.0
Airlines,Online,Gold Plan,No,8.0,SINGAPORE,46.15,11.54,M,87.0
Airlines,Online,Basic Plan,No,35.0,PHILIPPINES,42.0,14.7,F,42.0
Airlines,Online,Bronze Plan,No,18.0,SINGAPORE,0.0,7.47,M,45.0
Airlines,Online,Basic Plan,No,25.0,THAILAND,22.0,7.7,F,44.0
Airlines,Online,Silver Plan,No,6.0,SINGAPORE,36.75,9.19,M,43.0
Airlines,Online,Value Plan,No,44.0,FRANCE,109.0,38.15,F,58.0
Travel Agency,Online,Premier Plan,No,22.0,INDONESIA,38.0,14.44,M,22.0
Airlines,Online,Basic Plan,No,7.0,THAILAND,18.0,6.3,F,20.0
Airlines,Online,Basic Plan,No,14.0,HONG KONG,26.0,9.1,F,69.0
Travel Agency,Offline,Comprehensive Plan,No,186.0,MALAYSIA,-29.0,9.57,F,81.0
Airlines,Online,24 Protect,No,2.0,PHILIPPINES,3.1,1.08,M,48.0
Airlines,Online,Basic Plan,No,12.0,PHILIPPINES,22.0,7.7,F,54.0
Airlines,Online,Basic Plan,No,5.0,CHINA,22.0,7.7,F,26.0
Airlines,Online,Basic Plan,No,10.0,THAILAND,22.0,7.7,M,55.0
Airlines,Online,Value Plan,No,20.0,BRUNEI DARUSSALAM,15.0,6.0,F,65.0
Airlines,Online,Basic Plan,No,14.0,CHINA,40.0,14.0,M,47.0
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,27.75,6.94,F,25.0
Airlines,Online,Basic Plan,No,23.0,MYANMAR,0.0,12.95,F,27.0
Airlines,Online,Basic Plan,No,7.0,CHINA,26.0,9.1,M,37.0
Airlines,Online,Value Plan,No,7.0,BRUNEI DARUSSALAM,0.0,6.0,M,69.0
Airlines,Online,Basic Plan,No,19.0,THAILAND,18.0,6.3,F,47.0
Airlines,Online,Basic Plan,No,8.0,PHILIPPINES,30.0,10.5,F,59.0
Airlines,Online,Silver Plan,No,217.0,SINGAPORE,117.75,29.44,F,36.0
Airlines,Online,Bronze Plan,No,7.0,SINGAPORE,17.25,4.31,F,60.0
Airlines,Online,Silver Plan,No,49.0,SINGAPORE,82.55,20.64,M,30.0
Airlines,Online,Basic Plan,No,174.0,THAILAND,22.0,7.7,F,36.0
Airlines,Online,Value Plan,No,98.0,INDIA,31.0,12.4,F,118.0
Airlines,Online,Bronze Plan,No,24.0,SINGAPORE,18.0,4.5,M,29.0
Airlines,Online,Basic Plan,No,48.0,PHILIPPINES,37.0,12.95,F,38.0
Airlines,Online,Value Plan,No,93.0,INDIA,273.0,109.2,M,118.0
Airlines,Online,Basic Plan,No,20.0,HONG KONG,26.0,9.1,M,48.0
Airlines,Online,Basic Plan,No,85.0,PHILIPPINES,30.0,10.5,M,81.0
Airlines,Online,Basic Plan,No,67.0,MALAYSIA,18.0,6.3,M,62.0
Airlines,Online,24 Protect,No,17.0,PHILIPPINES,-14.39,5.04,F,48.0
Airlines,Online,Value Plan,No,1.0,BRUNEI DARUSSALAM,15.0,6.0,M,26.0
Airlines,Online,Value Plan,No,30.0,INDIA,31.0,12.4,F,118.0
Airlines,Online,Value Plan,No,10.0,BRUNEI DARUSSALAM,23.0,9.2,M,44.0
Airlines,Online,24 Protect,No,17.0,PHILIPPINES,14.39,5.04,F,48.0
Airlines,Online,Annual Silver Plan,No,374.0,SINGAPORE,291.75,72.94,M,49.0
Airlines,Online,Basic Plan,No,11.0,HONG KONG,26.0,9.1,M,49.0
Airlines,Online,Annual Silver Plan,No,365.0,SINGAPORE,252.85,63.21,M,43.0
Airlines,Online,Bronze Plan,No,4.0,SINGAPORE,23.4,5.85,F,34.0
Airlines,Online,Basic Plan,No,35.0,MYANMAR,22.0,7.7,M,28.0
Airlines,Online,Silver Plan,No,2.0,SINGAPORE,19.5,4.88,F,33.0
Airlines,Online,Value Plan,No,27.0,UNITED STATES,121.0,42.35,M,47.0
Airlines,Online,Basic Plan,No,81.0,AUSTRALIA,26.0,9.1,F,35.0
Airlines,Online,Basic Plan,No,2.0,INDONESIA,18.0,6.3,F,48.0
Airlines,Online,Value Plan,No,109.0,FRANCE,149.0,52.15,M,30.0
Airlines,Online,Silver Plan,No,12.0,SINGAPORE,54.6,13.65,M,28.0
Airlines,Online,Value Plan,No,15.0,INDIA,60.0,24.0,M,118.0
Airlines,Online,Basic Plan,No,5.0,THAILAND,-22.0,7.7,F,54.0
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,30.0,7.5,M,33.0
Airlines,Online,Basic Plan,No,12.0,THAILAND,18.0,6.3,F,55.0
Airlines,Online,24 Protect,No,33.0,PHILIPPINES,3.98,1.39,M,48.0
Airlines,Online,24 Protect,No,6.0,UNITED ARAB EMIRATES,19.0,6.65,F,48.0
Airlines,Online,Annual Silver Plan,No,387.0,SINGAPORE,252.85,63.21,F,37.0
Airlines,Online,Bronze Plan,No,10.0,SINGAPORE,17.55,4.39,F,50.0
Airlines,Online,Bronze Plan,No,41.0,SINGAPORE,80.6,20.15,M,37.0
Airlines,Online,Bronze Plan,No,8.0,SINGAPORE,35.25,8.81,M,30.0
Airlines,Online,Silver Plan,No,27.0,SINGAPORE,31.85,7.96,F,46.0
Airlines,Online,Annual Gold Plan,No,365.0,SINGAPORE,599.0,149.75,M,29.0
Airlines,Online,Value Plan,No,19.0,CHINA,45.0,15.75,M,39.0
Airlines,Online,Value Plan,No,43.0,INDIA,31.0,12.4,M,118.0
Airlines,Online,Basic Plan,No,38.0,INDONESIA,18.0,6.3,F,53.0
Airlines,Online,Basic Plan,No,22.0,THAILAND,18.0,6.3,M,64.0
Travel Agency,Online,Value Plan,No,39.0,INDONESIA,28.0,10.64,F,48.0
Airlines,Online,Silver Plan,No,15.0,SINGAPORE,24.05,6.01,F,55.0
Airlines,Online,Bronze Plan,No,27.0,SINGAPORE,71.0,17.75,M,36.0
Airlines,Online,Annual Silver Plan,Yes,366.0,SINGAPORE,252.85,63.21,M,38.0
Airlines,Online,Value Plan,No,13.0,PHILIPPINES,39.0,13.65,M,50.0
Airlines,Online,Value Plan,No,10.0,"KOREA, REPUBLIC OF",45.0,15.75,M,38.0
Airlines,Online,Annual Silver Plan,Yes,364.0,SINGAPORE,252.85,63.21,F,31.0
Airlines,Online,Basic Plan,No,4.0,MALAYSIA,18.0,6.3,M,52.0
Airlines,Online,Basic Plan,No,20.0,MALAYSIA,22.0,7.7,M,33.0
Airlines,Online,Silver Plan,No,5.0,SINGAPORE,18.5,4.63,M,43.0
Airlines,Online,Value Plan,No,166.0,CANADA,164.0,57.4,M,35.0
Airlines,Online,Annual Silver Plan,No,364.0,SINGAPORE,187.85,46.96,F,62.0
Airlines,Online,Basic Plan,No,7.0,MALAYSIA,18.0,6.3,F,27.0
Airlines,Online,Annual Silver Plan,No,368.0,SINGAPORE,187.85,46.96,M,38.0
Airlines,Online,Bronze Plan,Yes,32.0,SINGAPORE,53.5,13.38,M,23.0
